"Stop name","City"
"Gdańska - Jeździecka","Bydgoszcz"
"Gdańska - Jeździecka","Bydgoszcz"
"Armii Krajowej - Zamczysko","Bydgoszcz"
"Armii Krajowej - Zamczysko","Bydgoszcz"
"Myślęcinek","Bydgoszcz"
"Las Gdański","Bydgoszcz"
"Las Gdański","Bydgoszcz"
"Leśne","Bydgoszcz"
"Leśne","Bydgoszcz"
"Wyszyńskiego - Głowackiego","Bydgoszcz"
"Plac Teatralny","Bydgoszcz"
"Focha - Opera","Bydgoszcz"
"Rondo Wielkopolskie","Bydgoszcz"
"Powstańców Wlkp. - Lelewela","Bydgoszcz"
"Powstańców Wlkp. - Lelewela","Bydgoszcz"
"Paderewskiego","Bydgoszcz"
"Rondo Ossolińskich","Bydgoszcz"
"Ogińskiego - Moniuszki","Bydgoszcz"
"Dworzec Autobusowy","Bydgoszcz"
"Dworzec Autobusowy","Bydgoszcz"
"UKW","Bydgoszcz"
"UKW","Bydgoszcz"
"Dworzec Autobusowy","Bydgoszcz"
"Rondo Fordońskie","Bydgoszcz"
"Koronowska - Wodociągi","Bydgoszcz"
"Koronowska - Wodociągi","Bydgoszcz"
"Nad Torem - Chmurna","Bydgoszcz"
"Nad Torem - Chmurna","Bydgoszcz"
"Nad Torem - Karolewska","Bydgoszcz"
"Nad Torem - Karolewska","Bydgoszcz"
"Rondo Maczka","Bydgoszcz"
"Rondo Maczka","Bydgoszcz"
"Grunwaldzka - Kraszewskiego","Bydgoszcz"
"Grunwaldzka - Kraszewskiego","Bydgoszcz"
"Grunwaldzka - Flisacka","Bydgoszcz"
"Grunwaldzka - Filtrowa","Bydgoszcz"
"Grunwaldzka - Filtrowa","Bydgoszcz"
"Grunwaldzka - Kolbego","Bydgoszcz"
"Kolbego - Grunwaldzka","Bydgoszcz"
"Kolbego - Wielorybia","Bydgoszcz"
"Rondo Maczka","Bydgoszcz"
"Rondo Grunwaldzkie","Bydgoszcz"
"Rondo Grunwaldzkie","Bydgoszcz"
"Nakielska - Wrzesińska","Bydgoszcz"
"Nakielska - Wrzesińska","Bydgoszcz"
"Nakielska - Widok","Bydgoszcz"
"Nakielska - Widok","Bydgoszcz"
"Nakielska - Wiśniowa","Bydgoszcz"
"Nakielska - Wiśniowa","Bydgoszcz"
"Nakielska - Żywiecka","Bydgoszcz"
"Nakielska - Żywiecka","Bydgoszcz"
"Nakielska - Lisia","Bydgoszcz"
"Nakielska - Lisia","Bydgoszcz"
"Dworzec Wschód","Bydgoszcz"
"Dworzec Wschód","Bydgoszcz"
"Fordońska - Wiślana","Bydgoszcz"
"Dworzec Akademia","Bydgoszcz"
"Dworzec Akademia","Bydgoszcz"
"Fordońska - Wyszogrodzka","Bydgoszcz"
"Fordońska - Wyszogrodzka","Bydgoszcz"
"Fordońska - Wiadukt","Bydgoszcz"
"Fordońska - Wiadukt","Bydgoszcz"
"Wyzwolenia - Derdowskiego","Bydgoszcz"
"Piłsudskiego - Swobodna","Bydgoszcz"
"Piłsudskiego - Swobodna","Bydgoszcz"
"Nad Wisłą","Bydgoszcz"
"Pelplińska - Jarużyńska","Bydgoszcz"
"Pelplińska - Jarużyńska","Bydgoszcz"
"Pelplińska - Taterników","Bydgoszcz"
"Pelplińska - Taterników","Bydgoszcz"
"Twardzickiego - Powalisza","Bydgoszcz"
"Twardzickiego - Powalisza","Bydgoszcz"
"Twardzickiego - Witosa","Bydgoszcz"
"Twardzickiego - Witosa","Bydgoszcz"
"Twardzickiego - Thommee'","Bydgoszcz"
"Twardzickiego - Thommee'","Bydgoszcz"
"Twardzickiego - Kleina","Bydgoszcz"
"Twardzickiego - Kleina","Bydgoszcz"
"Twardzickiego - Łochowskiego","Bydgoszcz"
"Twardzickiego - Łochowskiego","Bydgoszcz"
"Centrum Onkologii","Bydgoszcz"
"Centrum Onkologii","Bydgoszcz"
"Pod Skarpą - Żemojtela","Bydgoszcz"
"Pod Skarpą - Żemojtela","Bydgoszcz"
"Pod Skarpą - Stamma","Bydgoszcz"
"Pod Skarpą - Stamma","Bydgoszcz"
"Plac Poznański","Bydgoszcz"
"Plac Poznański","Bydgoszcz"
"Szubińska - Żwirki i Wigury","Bydgoszcz"
"Nowy Rynek","Bydgoszcz"
"Nowy Rynek","Bydgoszcz"
"Rondo Inowrocławskie","Bydgoszcz"
"Rondo Inowrocławskie","Bydgoszcz"
"Jana Pawła II - Ziemska","Bydgoszcz"
"Jana Pawła II - Ziemska","Bydgoszcz"
"Jana Pawła II - Wąbrzeska","Bydgoszcz"
"Jana Pawła II - Wąbrzeska","Bydgoszcz"
"Rondo Kujawskie","Bydgoszcz"
"Rondo Toruńskie","Bydgoszcz"
"Toruńska - Łuczniczki","Bydgoszcz"
"Toruńska - Łuczniczki","Bydgoszcz"
"Toruńska - Kazimierza Wielkiego","Bydgoszcz"
"Toruńska - Kielecka","Bydgoszcz"
"Toruńska - Kielecka","Bydgoszcz"
"Nowotoruńska-Objazdowa","Bydgoszcz"
"Nowotoruńska-Objazdowa","Bydgoszcz"
"Nowotoruńska - Planu 6-cio letniego","Bydgoszcz"
"Nowotoruńska - Planu 6-cio letniego","Bydgoszcz"
"Dworzec Łęgnowo","Bydgoszcz"
"Dworzec Łęgnowo","Bydgoszcz"
"Toruńska - Przyłubska","Bydgoszcz"
"Toruńska - Przyłubska","Bydgoszcz"
"Nowotoruńska - Plątnowska","Bydgoszcz"
"Nowotoruńska - Plątnowska","Bydgoszcz"
"Nowotoruńska - Przepompownia","Bydgoszcz"
"Nowotoruńska - Przepompownia","Bydgoszcz"
"Nowotoruńska - Żółwińska","Bydgoszcz"
"Nowotoruńska - Żółwińska","Bydgoszcz"
"Zamczysko","Bydgoszcz"
"Zamczysko","Bydgoszcz"
"Zamczysko - Armii Krajowej","Bydgoszcz"
"Zamczysko","Bydgoszcz"
"Zamczysko","Bydgoszcz"
"Dworzec Główny","Bydgoszcz"
"Św. Floriana","Bydgoszcz"
"Rondo Wielkopolskie","Bydgoszcz"
"Jagiellońska - Piotrowskiego","Bydgoszcz"
"Rondo Jagiellonów (Jagiellońska 28)","Bydgoszcz"
"Bernardyńska - Floriana","Bydgoszcz"
"Urocza - Św. Floriana","Bydgoszcz"
"Wyścigowa pętla","Bydgoszcz"
"Wyszyńskiego - Głowackiego","Bydgoszcz"
"Skłodowskiej-Curie (szpital)","Bydgoszcz"
"Grunwaldzka","Bydgoszcz"
"Grunwaldzka","Bydgoszcz"
"Grunwaldzka - Kolbego","Bydgoszcz"
"Rekinowa","Bydgoszcz"
"Rondo Grunwaldzkie","Bydgoszcz"
"Fordońska - Auchan","Bydgoszcz"
"Altanowa - Piłsudskiego","Bydgoszcz"
"Pod Skarpą - Kulmatyckiego","Bydgoszcz"
"Pod Skarpą - Kulmatyckiego","Bydgoszcz"
"Błonie","Bydgoszcz"
"Błonie pętla","Bydgoszcz"
"Szubińska","Bydgoszcz"
"Bernardyńska","Bydgoszcz"
"Rondo Kujawskie","Bydgoszcz"
"Toruńska (Wodociągi)","Bydgoszcz"
"Nowotoruńska - Kielecka","Bydgoszcz"
"Nowotoruńska - Kielecka","Bydgoszcz"
"Toruńska - Kazimierza Wielkiego","Bydgoszcz"
"Stomil","Bydgoszcz"
"Stomil","Bydgoszcz"
"Toruńska - Plątnowska","Bydgoszcz"
"Toruńska - Plątnowska","Bydgoszcz"
