"Stop name","City"
"9 Maja","Wrocław"
"Adamczewskich","Wrocław"
"Adamieckiego","Wrocław"
"Aleja Pracy","Wrocław"
"Aleja Wędrowców","Wrocław"
"Al. Piastów","Wrocław"
"Arabska","Wrocław"
"Arena","Wrocław"
"Arkady (Capitol)","Wrocław"
"Armii Krajowej","Wrocław"
"Auchan","Wrocław"
"Autostrada","Wrocław"
"Azaliowa","Wrocław"
"Bacciarellego","Wrocław"
"Bagatela","Wrocław"
"Bajana","Wrocław"
"BAJANA - pętla","Wrocław"
"Bałtycka","Wrocław"
"BARDZKA","Wrocław"
"BARDZKA (Cmentarz)","Wrocław"
"BARTOSZOWICE","Wrocław"
"Bąków","Wrocław"
"Berenta","Wrocław"
"Bezpieczna","Wrocław"
"Białych Goździków","Wrocław"
"BIELANY WROCŁAWSKIE","Wrocław"
"Bielany - Kościół","Wrocław"
"Bielany - Kwiatowa","Wrocław"
"Bielany - MAKRO","Wrocław"
"Bielany - PKP","Wrocław"
"Bielany - PKS","Wrocław"
"Bielany - skrzyżowanie","Wrocław"
"Bielawa","Wrocław"
"BIEŃKOWICE","Wrocław"
"Bierdzany","Wrocław"
"Bierutowska","Wrocław"
"Bierutowska 75","Wrocław"
"BIERUTOWSKA (Ośrodek zdrowia)","Wrocław"
"Bierutowska - wiadukt","Wrocław"
"Bierzyce","Wrocław"
"Bierzyce - wieś","Wrocław"
"Biestrzyków - skrzyżowanie","Wrocław"
"Biskupice Podgórne Dong Seo/Dong Yang","Wrocław"
"Biskupice Podgórne LG Chem","Wrocław"
"Biskupice Podgórne LG Display","Wrocław"
"Biskupice Podgórne LG Electronics","Wrocław"
"Biskupice Podgórne LG Innotek","Wrocław"
"BISKUPIN","Wrocław"
"BLACHARSKA","Wrocław"
"BLIZANOWICE","Wrocław"
"Blizanowicka","Wrocław"
"Bociania","Wrocław"
"Bogusławice","Wrocław"
"Bojanowska","Wrocław"
"Borowa - skrz.","Wrocław"
"Borowa - skrzyżowanie","Wrocław"
"Borowa - stacja kolejowa","Wrocław"
"Borowa - Stacja PKP","Wrocław"
"Borowa - szkoła","Wrocław"
"Borowska","Wrocław"
"Borowska","Wrocław"
"Braterska","Wrocław"
"Brochowska","Wrocław"
"BROCHÓW","Wrocław"
"BROCHÓW (Stacja kolejowa)","Wrocław"
"Brodnicka","Wrocław"
"Brodzka","Wrocław"
"Brodzka - łącznik","Wrocław"
"Broniewskiego","Wrocław"
"Brücknera","Wrocław"
"Brzezia Łąka-skrzy.Orzechowa","Wrocław"
"Brzezia Łąka-skrzy.Sportowa","Wrocław"
"Brzezia Łąka Główna","Wrocław"
"Brzezia Łąka Główna pętla","Wrocław"
"Brzezia Łąka - cmentarz","Wrocław"
"Brzezia Łąka - Główna","Wrocław"
"Brzezia Łąka - Lipowa","Wrocław"
"Brzezia Łąka - skrzy. Główna","Wrocław"
"Brzezia Łąka - Wrocławska","Wrocław"
"Brzezina","Wrocław"
"BRZEZINA (pętla)","Wrocław"
"Brzezina - Chrobrego","Wrocław"
"Brzezina - Kościół","Wrocław"
"Brzezina - Osiedle","Wrocław"
"BRZEZINA - pętla","Wrocław"
"Brzezinka Średzka","Wrocław"
"Brzezinka Średzka - Główna","Wrocław"
"Brzezińska","Wrocław"
"Budziwojowice","Wrocław"
"Buforowa","Wrocław"
"Bujwida","Wrocław"
"Bukowina","Wrocław"
"Bukowina - skrzy.","Wrocław"
"Bukowina - skrzyżowanie","Wrocław"
"Bukowskiego","Wrocław"
"Byków","Wrocław"
"Byków - Bar","Wrocław"
"Byków - Jaśminowa","Wrocław"
"Byków - Lange","Wrocław"
"Byków - Ogrodowa","Wrocław"
"Bystrzycka","Wrocław"
"Bzowa","Wrocław"
"Ceglana","Wrocław"
"Centralna","Wrocław"
"Centrostal","Wrocław"
"CENTRUM HURTU UL. GIEŁDOWA","Wrocław"
"Centrum Zarządzania Kryzysowego","Wrocław"
"Cesarzowice skrz.","Wrocław"
"Chełmońskiego","Wrocław"
"Chińska","Wrocław"
"Chłodna","Wrocław"
"Chłopska","Wrocław"
"Chociebuska","Wrocław"
"Chopina","Wrocław"
"Chwałkowska","Wrocław"
"C.H. Korona","Wrocław"
"Ciechocińska","Wrocław"
"Cynamonowa","Wrocław"
"Czajkowskiego","Wrocław"
"Damrota","Wrocław"
"Daszyńskiego","Wrocław"
"Dawida","Wrocław"
"Dąbrowica","Wrocław"
"DH Astra","Wrocław"
"Długa","Wrocław"
"DŁUGA (Politechnika)","Wrocław"
"Długołęka-Broniewskiego (na wys. nr 11)","Wrocław"
"Długołęka-Parkowa skrzy. Konopnicka","Wrocław"
"Długołęka Nowy Urząd","Wrocław"
"Długołęka Urząd Gminy","Wrocław"
"Długołęka - Kasztanowa","Wrocław"
"Długołęka - Kościół","Wrocław"
"Długołęka - Nowy Urząd","Wrocław"
"Długołęka - Parkowa/skrzy.","Wrocław"
"Długołęka - Robotnicza","Wrocław"
"Długołęka - SELGROS","Wrocław"
